Tape,TB,FN,FP,Se(%),+P(%),DER(%)
100,2273,1,0,99.96,100.00,0.04
101,1865,2,4,99.89,99.79,0.32
102,2187,3,0,99.86,100.00,0.14
103,2084,1,0,99.95,100.00,0.05
104,2229,1,48,99.96,97.89,2.20
105,2572,12,115,99.53,95.70,4.94
106,2027,31,11,98.47,99.45,2.07
107,2137,20,13,99.06,99.39,1.54
108,1763,78,97,95.58,94.56,9.93
109,2532,6,1,99.76,99.96,0.28
111,2124,5,30,99.76,98.60,1.65
112,2539,0,1,100.00,99.96,0.04
113,1795,1,0,99.94,100.00,0.06
114,1879,0,11,100.00,99.42,0.59
115,1953,1,0,99.95,100.00,0.05
116,2412,30,9,98.76,99.62,1.62
117,1535,0,1,100.00,99.93,0.07
118,2278,0,3,100.00,99.87,0.13
119,1987,0,0,100.00,100.00,0.00
121,1863,1,2,99.95,99.89,0.16
122,2476,1,0,99.96,100.00,0.04
123,1518,0,0,100.00,100.00,0.00
124,1619,1,1,99.94,99.94,0.12
200,2601,2,12,99.92,99.54,0.54
201,1963,29,4,98.52,99.79,1.68
202,2136,15,7,99.30,99.67,1.03
203,2980,104,210,96.51,93.20,10.54
205,2656,5,0,99.81,100.00,0.19
207,1860,11,413,99.41,81.74,22.80
208,2955,60,42,97.97,98.57,3.45
209,3005,0,7,100.00,99.77,0.23
210,2650,28,16,98.94,99.39,1.66
212,2748,1,2,99.96,99.93,0.11
213,3251,8,1,99.75,99.97,0.28
214,2262,7,6,99.69,99.73,0.57
215,3363,1,3,99.97,99.91,0.12
217,2208,13,13,99.41,99.41,1.18
219,2154,2,0,99.91,100.00,0.09
220,2048,1,0,99.95,100.00,0.05
221,2427,8,5,99.67,99.79,0.54
222,2483,4,1,99.84,99.96,0.20
223,2605,8,7,99.69,99.73,0.58
228,2053,12,25,99.42,98.79,1.80
230,2256,1,1,99.96,99.96,0.09
231,1571,2,0,99.87,100.00,0.13
232,1780,0,52,100.00,97.16,2.92
233,3079,10,0,99.68,100.00,0.32
234,2753,5,0,99.82,100.00,0.18
TOTAL,109494,532,1174,99.51,98.93,1.56
